"","country","year","cpi","dyn_gdp","dyn_gdp_china","dyn_GDP_US","interest_rate_US","oil_yoy","dyn_consum","dyn_fx_rate","diff_priv_credit_gdp","net_lending","public_debt","interest_on_debt","overvaluation","ca_balance","dyn_fix_cap_form","dyn_export_share","diff_unempl","dyn_prod_dol","VIX","GDP_per_cap","developed","crisis_next_year","crisis_next_period","crisis_first_year"
"Estonia.Estonia.518","Estonia",1997,10.5818789322147,11.7986187205621,9.23076923076909,4.4870264931673,6.3525,-9.69662519331346,-14.2391386572593,15.3160824057152,9.9839216033245,2.857,6.138,4.56174649723036,-97.7164262430889,-11.094,31.3129777431444,19.5778991660704,-0.247,11.4851485148515,24.34,13.7332848117095,1,0,"0",0
"Estonia.Estonia.519","Estonia",1998,8.208333333333,4.11725775063256,7.83761391880728,4.44991096328404,5.264167,-34.4214815468494,-7.08930481521134,1.3897143131572,-0.173002633203303,0.499,5.453,5.2814964239868,-97.5914172034862,-8.545,22.2219928032807,16.4617404835367,0.196999999999999,4.59781781273789,25.379999,14.4367289529188,1,0,"0",0
"Estonia.Estonia.520","Estonia",1999,3.29611089718938,-0.856448275634458,7.66748617086637,4.68519960839866,5.636667,38.2686130479186,-7.06229678376521,4.28370121258006,-0.065324511437197,-3.548,5.964,4.12474849094567,-97.5609063708262,-4.281,-12.356554494776,-7.12927155118288,2.37,3.00325069137839,24.360001,14.2709983363474,1,0,"0",0
"Estonia.Estonia.521","Estonia",2000,4.01998061582016,10.5680749511053,8.49150849150837,4.09217644881066,6.029167,53.4148501304938,-3.77937052497342,15.609199970477,4.3087300715521,-0.247,5.114,-0.840829096597575,-97.8548659674289,-5.391,17.2539720671169,-21.5350596818738,2.401,12.8403203014602,27.93,15.7030274678557,1,0,"0",0
"Estonia.Estonia.522","Estonia",2001,5.74533048551484,6.32871050381532,8.33991054985566,0.975981833932127,5.0175,-16.5916713904271,-5.43322879461346,3.00221447765061,2.9180100109561,-0.08,4.779,-2.28081188533166,-97.8372900049122,-7.092,15.5925991862329,12.7298482803653,-1.593,7.55969277007849,23.780001,16.8035186789525,1,0,"0",0
"Estonia.Estonia.523","Estonia",2002,3.57128333039682,6.07639470207957,9.13064594463338,1.78612768745552,4.610833,0.776871746321239,-3.43725965359006,-4.95638128619895,5.7269734837952,0.254,5.697,-1.50956643847639,-97.6462502790437,-11.093,25.0479159182822,6.20979268978357,-1.782,4.68428610237901,28.74,17.9378319791363,1,0,"0",0
"Estonia.Estonia.524","Estonia",2003,1.33828947626717,7.41616336532107,10.0356030262568,2.80677595648093,4.015,12.6483302160957,-5.56350832093885,-16.5868939211726,5.9805093462614,1.672,5.623,-5.77983282945047,-97.1132496840431,-12.893,19.9531043051169,13.8200570193239,-0.885,5.31623044413139,17.959999,19.3894423083658,1,0,"0",0
"Estonia.Estonia.525","Estonia",2004,3.04807170717846,6.2947462252348,10.1112234580387,3.78574284969444,4.274167,29.2802993398191,-3.77560614943615,-9.09938208182656,-10.1095120153415,1.644,5.062,-5.17581983405768,-96.7607642393293,-11.991,8.33380241228665,8.29479245257447,-0.202,5.07955505491411,13.39,20.733538079237,1,0,"0",0
"Estonia.Estonia.526","Estonia",2005,4.08968992053744,9.37371145418147,11.3957759412304,3.34521606334877,4.29,37.8137412594648,-7.20049406658948,-0.0935011916103123,16.3947623426218,1.605,4.549,-3.73708507364256,-96.6703186108689,-8.728,20.0902457988823,9.39533138288251,-2.109,7.44698670061303,12.25,22.8071827469547,1,0,"0",0
"Estonia.Estonia.527","Estonia",2006,4.42991486953509,10.2718840891112,12.7194790206908,2.666625826122,4.791667,15.7502741152586,-8.35950178942559,-0.940121062601984,19.5117857642637,2.437,4.404,-5.13169845594914,-96.4461868579806,-14.959,34.0873077920609,1.21695655491152,-2.119,4.61432936334727,12.16,25.298646049925,1,0,"0",0
"Estonia.Estonia.528","Estonia",2007,6.59763859422515,7.74819236807274,14.231388035688,1.77857023965289,4.629167,8.04419884300431,-12.7009609259504,-8.27589832577962,8.04720491947991,2.36,3.664,-8.7882096069869,-95.7931941213391,-14.981,19.6013380923639,12.2891626248658,-1.32,6.3986409966025,22.58,27.3834695578858,1,0,"0",0
"Estonia.Estonia.529","Estonia",2008,10.3656030286644,-5.41945589002262,9.65428937259927,-0.291621458693958,3.666667,29.3839592554058,-5.26871913779934,-6.4668480744791,5.67017391173989,-2.898,4.487,-9.67238689547581,-95.2592201805069,-8.677,-13.3055222002157,1.04547516315476,0.866000000000001,-5.29957144057589,39.580002,25.9689728072711,1,0,"0",0
"Estonia.Estonia.530","Estonia",2009,-0.084776493879644,-14.7244039059598,9.39981317141534,-2.77552957416808,3.256667,-36.3623035005381,-2.8127553015492,5.26430208936837,11.0668647072396,-1.929,7.038,-3.26797385620915,-95.50519114738,2.541,-37.5879590438359,-8.24269780949763,8.091,-5.65234109260848,21.68,22.1879264018728,1,0,"0",0
"Estonia.Estonia.531","Estonia",2010,2.97558032889841,2.25907589383119,10.6361404632298,2.53192061616314,3.214167,26.8218358395412,-3.56520622488878,4.88048610226273,-8.32409448742371,0.146,6.551,-2.82399633643719,-95.6974122992567,1.799,-2.80313609030873,2.74103584533258,3.158,7.20734842309863,17.940001,22.7409720038708,1,0,"0",0
"Estonia.Estonia.532","Estonia",2011,4.97761478376795,7.59730020924561,9.53644300805552,1.60145467247139,2.785833,35.6695625492335,-8.06195149976207,-93.9154735429348,-14.8900033617523,1.116,6.067,-2.86797428712708,-27.0592,1.334,39.7496802613568,15.4204334360284,-4.382,1.62587361464457,22.950001,24.5430674715452,1,0,"0",0
"Estonia.Estonia.533","Estonia",2012,3.93492157832413,4.30725898765325,7.85626211026953,2.22403085385714,1.8025,-1.66282860640151,-2.29566837590685,8.3437110834371,-5.22665082318551,-0.257,9.733,-0.986335148463988,-31.77712,-2.442,17.41886120351,-2.6627564725304,-2.305,1.99119500474778,15.24,25.6919996357991,1,0,"0",0
